122816_mouseTest1
START time
16:23
treadmill_hiddenRewardRFIDhardSer_121616a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=4937
starting track calibration
read tag, millis=12262
calibration complete
track length = 4064
START SESSION button, millis = 14416
vel=307.69, currPos=926, millis=35360
vel=294.12, currPos=941, millis=35411
vel=313.73, currPos=957, millis=35462
vel=300.00, currPos=972, millis=35513
vel=313.73, currPos=988, millis=35564
vel=288.46, currPos=1003, millis=35615
vel=254.90, currPos=1016, millis=35666
vel=220.00, currPos=1027, millis=35717
vel=313.73, currPos=1043, millis=35768
vel=352.94, currPos=1061, millis=35819
vel=372.55, currPos=1080, millis=35870
vel=352.94, currPos=1098, millis=35921
vel=372.55, currPos=1117, millis=35972
vel=352.94, currPos=1135, millis=36023
vel=360.00, currPos=1153, millis=36074
vel=333.33, currPos=1170, millis=36125
vel=326.92, currPos=1187, millis=36176
vel=313.73, currPos=1203, millis=36227
vel=320.00, currPos=1219, millis=36278
vel=313.73, currPos=1235, millis=36328
vel=313.73, currPos=1251, millis=36379
vel=326.92, currPos=1268, millis=36430
vel=360.00, currPos=1286, millis=36481
vel=333.33, currPos=1303, millis=36532
vel=333.33, currPos=1320, millis=36583
vel=294.12, currPos=1335, millis=36634
vel=313.73, currPos=1351, millis=36685
vel=313.73, currPos=1367, millis=36736
vel=313.73, currPos=1383, millis=36787
vel=313.73, currPos=1399, millis=36838
vel=260.00, currPos=1412, millis=36889
vel=230.77, currPos=1424, millis=36940
vel=196.08, currPos=1434, millis=36991
vel=200.00, currPos=1444, millis=37042
vel=156.86, currPos=1452, millis=37092
vel=137.25, currPos=1459, millis=37143
lick, millis=37183
vel=134.62, currPos=1466, millis=37194
REWARD, millis=37194
vel=140.00, currPos=1473, millis=37245
vel=117.65, currPos=1479, millis=37296
vel=98.04, currPos=1484, millis=37347
vel=100.00, currPos=1489, millis=37398
vel=58.82, currPos=1492, millis=37449
vel=57.69, currPos=1495, millis=37500
vel=140.00, currPos=1502, millis=37551
vel=294.12, currPos=1517, millis=37602
vel=313.73, currPos=1533, millis=37653
vel=235.29, currPos=1545, millis=37704
vel=215.69, currPos=1556, millis=37755
vel=196.08, currPos=1566, millis=37806
vel=176.47, currPos=1575, millis=37856
vel=160.00, currPos=1583, millis=37907
vel=137.25, currPos=1590, millis=37958
vel=115.38, currPos=1596, millis=38009
vel=117.65, currPos=1602, millis=38060
vel=200.00, currPos=1612, millis=38111
vel=254.90, currPos=1625, millis=38162
vel=313.73, currPos=1641, millis=38213
vel=313.73, currPos=1657, millis=38264
vel=274.51, currPos=1671, millis=38315
vel=254.90, currPos=1684, millis=38366
vel=235.29, currPos=1696, millis=38417
vel=220.00, currPos=1707, millis=38468
vel=192.31, currPos=1717, millis=38519
vel=196.08, currPos=1727, millis=38570
vel=176.47, currPos=1736, millis=38620
vel=260.00, currPos=1749, millis=38672
vel=352.94, currPos=1767, millis=38723
vel=365.38, currPos=1786, millis=38774
vel=360.00, currPos=1804, millis=38825
vel=313.73, currPos=1820, millis=38876
vel=313.73, currPos=1836, millis=38927
vel=254.90, currPos=1849, millis=38978
