030817_mouseTest1
START time
19:29
treadmill_hiddenRewMult_030817a
numRew=4
rewWidth=300
rewZoneOptTime=3000
interLickInt=1000
rewTimeout=500
rewPos={0, 800, 1600, 2400, }
rewDur=500
isButtonStart=0
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=2157
starting track calibration
read tag, millis=11628
calibration complete
track length=4655
START SESSION, millis=11633
vel=764.71, currPos=39, millis=47828
rewZone=0, millis=47830
vel=333.33, currPos=56, millis=47880
vel=117.65, currPos=62, millis=47930
vel=420.00, currPos=83, millis=47981
vel=333.33, currPos=100, millis=48032
vel=117.65, currPos=106, millis=48082
vel=78.43, currPos=110, millis=48134
vel=19.61, currPos=111, millis=48184
vel=-1.12, currPos=110, millis=49076
vel=-320.00, currPos=94, millis=49127
vel=-78.43, currPos=90, millis=49178
vel=352.94, currPos=108, millis=49229
vel=1588.24, currPos=189, millis=49281
vel=2117.65, currPos=297, millis=49332
vel=820.00, currPos=338, millis=49382
vel=1568.63, currPos=418, millis=49433
rewZone=1, millis=49434
vel=2450.98, currPos=543, millis=49484
vel=1078.43, currPos=598, millis=49534
vel=764.71, currPos=637, millis=49586
vel=450.98, currPos=660, millis=49637
vel=600.00, currPos=690, millis=49688
vel=431.37, currPos=712, millis=49738
vel=607.84, currPos=743, millis=49789
vel=254.90, currPos=756, millis=49841
vel=16.95, currPos=757, millis=49899
vel=20.00, currPos=758, millis=49949
