030817_mouseTest2
START time
20:16
treadmill_hiddenRewMult_030817a
numRew=10
rewWidth=300
rewZoneOptTime=3000
interLickInt=1000
rewTimeout=500
rewPos={0, 400, 800, 1200, 1600, 2000, 2400, 2800, 3200, 3600, }
rewDur=500
isButtonStart=0
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=1446
starting track calibration
read tag, millis=8476
calibration complete
track length=4793
START SESSION, millis=8481
vel=-568.63, currPos=3904, millis=43904
vel=-280.00, currPos=3890, millis=43955
vel=15.87, currPos=3891, millis=44018
vel=115.38, currPos=3897, millis=44068
vel=60.00, currPos=3900, millis=44120
vel=137.25, currPos=3907, millis=44171
vel=39.22, currPos=3909, millis=44221
vel=7.81, currPos=3910, millis=44350
vel=19.61, currPos=3911, millis=44401
vel=117.65, currPos=3917, millis=44451
vel=19.61, currPos=3918, millis=44503
vel=-19.61, currPos=3917, millis=44553
vel=-40.00, currPos=3915, millis=44604
vel=-98.04, currPos=3910, millis=44654
vel=-40.00, currPos=3908, millis=44705
vel=-57.69, currPos=3905, millis=44756
vel=-120.00, currPos=3899, millis=44807
vel=-254.90, currPos=3886, millis=44858
vel=-460.00, currPos=3863, millis=44909
vel=-450.98, currPos=3840, millis=44959
vel=-392.16, currPos=3820, millis=45010
vel=-176.47, currPos=3811, millis=45061
vel=-140.00, currPos=3804, millis=45112
vel=-196.08, currPos=3794, millis=45163
vel=-235.29, currPos=3782, millis=45214
vel=-490.20, currPos=3757, millis=45264
vel=-294.12, currPos=3742, millis=45316
vel=-180.00, currPos=3733, millis=45366
vel=-98.04, currPos=3728, millis=45417
vel=-60.00, currPos=3725, millis=45467
vel=-13.70, currPos=3724, millis=45540
vel=-19.61, currPos=3723, millis=45591
vel=10.87, currPos=3724, millis=45684
vel=1.06, currPos=3725, millis=46624
vel=96.15, currPos=3730, millis=46674
vel=-17.24, currPos=3729, millis=46733
vel=-280.00, currPos=3715, millis=46784
vel=-450.98, currPos=3692, millis=46835
vel=-500.00, currPos=3666, millis=46886
vel=-520.00, currPos=3640, millis=46937
vel=-450.98, currPos=3617, millis=46988
vel=-440.00, currPos=3595, millis=47038
vel=-333.33, currPos=3578, millis=47089
vel=-300.00, currPos=3563, millis=47140
vel=-307.69, currPos=3547, millis=47191
vel=-215.69, currPos=3536, millis=47242
vel=-220.00, currPos=3525, millis=47293
vel=-529.41, currPos=3498, millis=47343
rewZone=8, millis=47344
vel=-560.00, currPos=3470, millis=47394
vel=-153.85, currPos=3462, millis=47444
vel=-100.00, currPos=3457, millis=47496
vel=-58.82, currPos=3454, millis=47546
vel=-60.00, currPos=3451, millis=47597
vel=-39.22, currPos=3449, millis=47647
vel=-78.43, currPos=3445, millis=47698
vel=-235.29, currPos=3433, millis=47750
vel=-137.25, currPos=3426, millis=47800
vel=-20.00, currPos=3425, millis=47851
vel=78.43, currPos=3429, millis=47902
vel=60.00, currPos=3432, millis=47952
vel=-12.99, currPos=3431, millis=48029
vel=-19.61, currPos=3430, millis=48080
vel=-372.55, currPos=3411, millis=48132
vel=0.88, currPos=3412, millis=49271
vel=57.69, currPos=3415, millis=49323
vel=260.00, currPos=3428, millis=49374
vel=372.55, currPos=3447, millis=49425
vel=540.00, currPos=3474, millis=49475
vel=1078.43, currPos=3529, millis=49526
vel=1211.54, currPos=3592, millis=49577
vel=1500.00, currPos=3667, millis=49628
rewZone=9, millis=49629
vel=1333.33, currPos=3735, millis=49679
vel=1200.00, currPos=3795, millis=49729
vel=1921.57, currPos=3893, millis=49780
vel=1060.00, currPos=3946, millis=49831
vel=519.23, currPos=3973, millis=49882
vel=549.02, currPos=4001, millis=49933
vel=580.00, currPos=4030, millis=49984
vel=1000.00, currPos=4081, millis=50034
vel=520.00, currPos=4107, millis=50085
vel=192.31, currPos=4117, millis=50137
vel=1.46, currPos=4118, millis=50820
vel=1490.20, currPos=4194, millis=50871
vel=780.00, currPos=4233, millis=50922
vel=901.96, currPos=4279, millis=50973
vel=1280.00, currPos=4343, millis=51023
vel=1711.54, currPos=4432, millis=51075
vel=235.29, currPos=4444, millis=51125
