122816_mouseTest2
START time
21:15
treadmill_hiddenRewardRFIDhardSer_122916a
rewBegPos=1000
rewEndPos=2000
rewDur=500
isButtonStart=1
isOperant=1
isVelRew=0
velThresh=400.00
END HEADER
read tag, millis=3499
starting track calibration
read tag, millis=8220
calibration complete
track length=4017
START SESSION button, millis = 10506
vel=568.63, currPos=3375, millis=22092
vel=607.84, currPos=3406, millis=22143
vel=549.02, currPos=3434, millis=22194
vel=529.41, currPos=3461, millis=22245
vel=529.41, currPos=3488, millis=22296
vel=529.41, currPos=3515, millis=22347
vel=509.80, currPos=3541, millis=22398
vel=520.00, currPos=3567, millis=22449
vel=461.54, currPos=3591, millis=22500
vel=470.59, currPos=3615, millis=22551
vel=470.59, currPos=3639, millis=22602
vel=588.24, currPos=3669, millis=22653
vel=880.00, currPos=3713, millis=22704
vel=923.08, currPos=3761, millis=22755
vel=980.39, currPos=3811, millis=22806
vel=980.39, currPos=3861, millis=22857
vel=1040.00, currPos=3913, millis=22908
vel=960.78, currPos=3962, millis=22959
vel=865.38, currPos=4007, millis=23010
vel=862.75, currPos=4051, millis=23061
vel=843.14, currPos=4094, millis=23112
read tag, millis=23149
vel=800.00, currPos=40, millis=23163
vel=764.71, currPos=79, millis=23214
vel=750.00, currPos=118, millis=23265
vel=725.49, currPos=155, millis=23316
vel=686.27, currPos=190, millis=23367
vel=720.00, currPos=226, millis=23418
vel=686.27, currPos=261, millis=23469
vel=596.15, currPos=292, millis=23520
vel=607.84, currPos=323, millis=23571
vel=660.00, currPos=356, millis=23622
vel=568.63, currPos=385, millis=23673
vel=588.24, currPos=415, millis=23724
vel=500.00, currPos=441, millis=23775
vel=333.33, currPos=458, millis=23826
vel=380.00, currPos=477, millis=23877
vel=666.67, currPos=511, millis=23928
vel=823.53, currPos=553, millis=23979
vel=884.62, currPos=599, millis=24030
vel=980.00, currPos=648, millis=24081
vel=921.57, currPos=695, millis=24132
vel=941.18, currPos=743, millis=24183
vel=921.57, currPos=790, millis=24234
vel=960.78, currPos=839, millis=24285
vel=921.57, currPos=886, millis=24336
vel=862.75, currPos=930, millis=24387
vel=843.14, currPos=973, millis=24438
vel=803.92, currPos=1014, millis=24489
vel=784.31, currPos=1054, millis=24540
vel=764.71, currPos=1093, millis=24591
vel=764.71, currPos=1132, millis=24642
vel=745.10, currPos=1170, millis=24693
vel=705.88, currPos=1206, millis=24744
vel=720.00, currPos=1242, millis=24795
vel=692.31, currPos=1278, millis=24846
vel=647.06, currPos=1311, millis=24897
vel=627.45, currPos=1343, millis=24948
vel=666.67, currPos=1377, millis=24999
vel=620.00, currPos=1408, millis=25050
vel=596.15, currPos=1439, millis=25101
vel=627.45, currPos=1471, millis=25152
vel=627.45, currPos=1503, millis=25203
vel=600.00, currPos=1533, millis=25254
vel=568.63, currPos=1562, millis=25305
vel=557.69, currPos=1591, millis=25356
vel=549.02, currPos=1619, millis=25407
vel=549.02, currPos=1647, millis=25458
vel=520.00, currPos=1673, millis=25509
vel=490.20, currPos=1698, millis=25560
vel=480.77, currPos=1723, millis=25611
vel=490.20, currPos=1748, millis=25662
vel=450.98, currPos=1771, millis=25713
vel=460.00, currPos=1794, millis=25764
vel=411.76, currPos=1815, millis=25815
vel=403.85, currPos=1836, millis=25866
vel=411.76, currPos=1857, millis=25917
vel=460.00, currPos=1880, millis=25968
vel=392.16, currPos=1900, millis=26019
vel=333.33, currPos=1917, millis=26070
vel=313.73, currPos=1933, millis=26121
vel=288.46, currPos=1948, millis=26172
vel=260.00, currPos=1961, millis=26223
vel=274.51, currPos=1975, millis=26274
vel=235.29, currPos=1987, millis=26325
vel=254.90, currPos=2000, millis=26376
vel=215.69, currPos=2011, millis=26427
vel=215.69, currPos=2022, millis=26478
vel=176.47, currPos=2031, millis=26529
vel=156.86, currPos=2039, millis=26580
vel=140.00, currPos=2046, millis=26631
vel=134.62, currPos=2053, millis=26681
vel=78.43, currPos=2057, millis=26732
vel=78.43, currPos=2061, millis=26783
vel=40.00, currPos=2063, millis=26834
vel=19.61, currPos=2064, millis=26885
vel=19.23, currPos=2065, millis=26936
vel=-9.71, currPos=2064, millis=27039
vel=-16.13, currPos=2063, millis=27101
vel=-19.61, currPos=2062, millis=27152
vel=-16.13, currPos=2061, millis=27215
vel=-12.66, currPos=2060, millis=27293
vel=-12.66, currPos=2059, millis=27372
vel=-16.95, currPos=2058, millis=27432
vel=-12.50, currPos=2057, millis=27512
vel=-12.99, currPos=2056, millis=27588
vel=-15.38, currPos=2055, millis=27654
vel=-19.23, currPos=2054, millis=27705
vel=-19.61, currPos=2053, millis=27757
vel=-19.23, currPos=2052, millis=27809
vel=-19.61, currPos=2051, millis=27860
vel=-20.00, currPos=2050, millis=27910
vel=-19.23, currPos=2049, millis=27961
vel=-39.22, currPos=2047, millis=28012
vel=-20.00, currPos=2046, millis=28063
vel=-39.22, currPos=2044, millis=28114
vel=-19.61, currPos=2043, millis=28165
vel=-19.23, currPos=2042, millis=28216
vel=-20.00, currPos=2041, millis=28267
vel=-39.22, currPos=2039, millis=28318
vel=-19.61, currPos=2038, millis=28369
vel=-19.61, currPos=2037, millis=28420
vel=-12.20, currPos=2036, millis=28502
vel=-7.19, currPos=2035, millis=28640
vel=0.09, currPos=2036, millis=39258
vel=98.04, currPos=2041, millis=39309
vel=235.29, currPos=2053, millis=39361
vel=313.73, currPos=2069, millis=39412
vel=392.16, currPos=2089, millis=39463
vel=529.41, currPos=2116, millis=39514
vel=740.00, currPos=2153, millis=39565
vel=807.69, currPos=2195, millis=39616
vel=843.14, currPos=2238, millis=39667
vel=862.75, currPos=2282, millis=39718
vel=803.92, currPos=2323, millis=39769
vel=760.00, currPos=2361, millis=39820
vel=750.00, currPos=2400, millis=39871
vel=784.31, currPos=2440, millis=39922
vel=705.88, currPos=2476, millis=39973
vel=740.00, currPos=2513, millis=40024
vel=725.49, currPos=2550, millis=40075
vel=634.62, currPos=2583, millis=40126
vel=666.67, currPos=2617, millis=40177
vel=803.92, currPos=2658, millis=40228
vel=920.00, currPos=2704, millis=40279
vel=882.35, currPos=2749, millis=40330
vel=865.38, currPos=2794, millis=40381
vel=843.14, currPos=2837, millis=40432
vel=880.00, currPos=2881, millis=40483
vel=803.92, currPos=2922, millis=40534
vel=745.10, currPos=2960, millis=40585
vel=666.67, currPos=2994, millis=40636
vel=634.62, currPos=3027, millis=40687
vel=540.00, currPos=3054, millis=40738
vel=509.80, currPos=3080, millis=40789
vel=549.02, currPos=3108, millis=40840
vel=588.24, currPos=3138, millis=40891
vel=557.69, currPos=3167, millis=40942
vel=540.00, currPos=3194, millis=40993
vel=509.80, currPos=3220, millis=41044
vel=470.59, currPos=3244, millis=41095
vel=470.59, currPos=3268, millis=41146
vel=470.59, currPos=3292, millis=41197
vel=450.98, currPos=3315, millis=41248
vel=372.55, currPos=3334, millis=41299
vel=333.33, currPos=3351, millis=41350
vel=352.94, currPos=3369, millis=41401
vel=372.55, currPos=3388, millis=41452
vel=352.94, currPos=3406, millis=41503
vel=352.94, currPos=3424, millis=41554
vel=313.73, currPos=3440, millis=41605
vel=320.00, currPos=3456, millis=41656
vel=269.23, currPos=3470, millis=41707
vel=274.51, currPos=3484, millis=41758
vel=254.90, currPos=3497, millis=41809
vel=254.90, currPos=3510, millis=41860
vel=220.00, currPos=3521, millis=41911
vel=230.77, currPos=3533, millis=41962
vel=215.69, currPos=3544, millis=42013
vel=215.69, currPos=3555, millis=42064
vel=196.08, currPos=3565, millis=42115
vel=180.00, currPos=3574, millis=42166
vel=153.85, currPos=3582, millis=42217
vel=117.65, currPos=3588, millis=42267
vel=58.82, currPos=3591, millis=42318
vel=80.00, currPos=3595, millis=42369
vel=117.65, currPos=3601, millis=42420
vel=173.08, currPos=3610, millis=42471
vel=220.00, currPos=3621, millis=42523
vel=215.69, currPos=3632, millis=42574
vel=215.69, currPos=3643, millis=42625
vel=196.08, currPos=3653, millis=42676
vel=156.86, currPos=3661, millis=42726
vel=156.86, currPos=3669, millis=42777
vel=98.04, currPos=3674, millis=42828
vel=98.04, currPos=3679, millis=42879
vel=98.04, currPos=3684, millis=42930
vel=80.00, currPos=3688, millis=42981
vel=96.15, currPos=3693, millis=43032
vel=78.43, currPos=3697, millis=43083
vel=98.04, currPos=3702, millis=43134
vel=60.00, currPos=3705, millis=43185
vel=58.82, currPos=3708, millis=43236
vel=19.23, currPos=3709, millis=43287
vel=40.00, currPos=3711, millis=43338
vel=58.82, currPos=3714, millis=43389
vel=78.43, currPos=3718, millis=43440
vel=58.82, currPos=3721, millis=43491
vel=78.43, currPos=3725, millis=43542
vel=39.22, currPos=3727, millis=43593
vel=19.61, currPos=3728, millis=43644
vel=19.61, currPos=3729, millis=43695
vel=-7.69, currPos=3728, millis=43825
vel=12.05, currPos=3729, millis=43908
vel=58.82, currPos=3732, millis=43959
vel=98.04, currPos=3737, millis=44010
vel=137.25, currPos=3744, millis=44061
vel=156.86, currPos=3752, millis=44112
vel=176.47, currPos=3761, millis=44163
vel=200.00, currPos=3771, millis=44214
vel=134.62, currPos=3778, millis=44265
